date,LRF_Power
2019-09-30,205.30839371151285
2019-10-01,263.8668060081775
2019-10-02,279.76785982452407
2019-10-03,283.09225112879244
2019-10-04,264.0385016945753
2019-10-05,306.9773494554719
2019-10-06,309.23811510464145
2019-10-07,335.91808585506317
2019-10-08,336.0383066390258
2019-10-09,306.64810752519963
2019-10-10,304.5564316145134
2019-10-11,301.1353240629678
2019-10-12,315.2953523838885
2019-10-13,320.93654500844616
2019-10-14,301.03717746469215
2019-10-15,317.09021625751143
2019-10-16,303.879865621793
2019-10-17,303.00080294058614
2019-10-18,275.4580491724952
2019-10-19,278.2393622362066
2019-10-20,331.30435074192917
2019-10-21,330.00812584651476
2019-10-22,332.23037756343047
2019-10-23,326.8898248555987
2019-10-24,287.2575691148992
2019-10-25,283.15385739057217
2019-10-26,287.69483950305903
2019-10-27,361.06054223425815
