date,MLP_Power
2019-09-30,282.5683903740181
2019-10-01,271.6123264061372
2019-10-02,272.7511031012957
2019-10-03,303.54427432756063
2019-10-04,260.665565308857
2019-10-05,315.7279657450856
2019-10-06,327.14848500190067
2019-10-07,357.7418714265493
2019-10-08,315.9185303108035
2019-10-09,280.4277541875899
2019-10-10,288.81906648420954
2019-10-11,279.1188354452678
2019-10-12,303.7986669373339
2019-10-13,297.8389669282926
2019-10-14,285.01473611814674
2019-10-15,292.5823520395513
2019-10-16,281.7353720608496
2019-10-17,294.9782775325939
2019-10-18,276.14807013772736
2019-10-19,266.58890412347137
2019-10-20,333.30767689465165
2019-10-21,329.93969935927043
2019-10-22,332.7051719181952
2019-10-23,311.0602544779639
2019-10-24,276.2261553850459
2019-10-25,280.74187534622786
2019-10-26,275.14279069962527
2019-10-27,337.7571731382702
