,date,SVM_Power
0,2019-09-30,325.7093881142344
1,2019-10-01,324.74034350403093
2,2019-10-02,324.84723210258767
3,2019-10-03,327.69914755572387
4,2019-10-04,323.77686154297896
5,2019-10-05,328.8823640377115
6,2019-10-06,329.9676551662015
7,2019-10-07,332.9319986321175
8,2019-10-08,328.8869161007712
9,2019-10-09,325.54722109924217
10,2019-10-10,326.3378790398348
11,2019-10-11,325.43946118906734
12,2019-10-12,327.73048338235986
13,2019-10-13,327.1645178065746
14,2019-10-14,325.96027131077557
15,2019-10-15,326.6550089865955
16,2019-10-16,325.6540899923051
17,2019-10-17,326.88524697194066
18,2019-10-18,325.1458240465332
19,2019-10-19,324.2958171095336
20,2019-10-20,330.5673091365897
21,2019-10-21,330.2355349039026
22,2019-10-22,330.50735088397784
23,2019-10-23,328.41792480655937
24,2019-10-24,325.1583120934148
25,2019-10-25,325.57239598570396
26,2019-10-26,325.0287661573349
27,2019-10-27,330.95825494398247
